datetime,price,side,traded_quantity,is_intraday,unable_to_trade_days
2022-01-18 09:40:00,590.25,-1,25,True,8
2022-01-18 09:50:00,606.6,-1,25,True,8
2022-01-18 09:55:00,642.75,1,25,True,8
2022-01-18 10:15:00,610.0,-1,25,True,8
2022-01-18 10:20:00,630.1,1,25,True,8
2022-01-18 10:45:00,612.65,-1,25,True,8
2022-01-18 10:50:00,607.1,1,25,True,8
2022-01-18 11:05:00,589.45,-1,25,True,8
2022-01-18 11:10:00,596.65,1,25,True,8
2022-01-18 14:30:00,365.55,1,25,True,8
2022-01-19 09:30:00,528.0,-1,25,True,8
2022-01-19 09:30:00,605.0,1,25,True,8
2022-01-19 09:35:00,549.75,-1,25,True,8
2022-01-19 09:35:00,606.0,-1,25,True,8
2022-01-19 09:40:00,671.95,1,25,True,8
2022-01-19 09:50:00,585.95,-1,25,True,8
2022-01-19 09:55:00,631.95,1,25,True,8
2022-01-19 10:50:00,575.0,1,25,True,8
2022-01-19 10:55:00,553.7,-1,25,True,8
2022-01-19 11:10:00,553.55,-1,25,True,8
2022-01-19 11:15:00,635.4,1,25,True,8
2022-01-19 11:30:00,558.0,-1,25,True,8
2022-01-19 11:30:00,603.5,1,25,True,8
2022-01-19 12:05:00,563.95,-1,25,True,8
2022-01-19 12:05:00,595.55,1,25,True,8
2022-01-19 14:30:00,471.9,1,25,True,8
2022-01-20 09:35:00,473.3,-1,25,True,8
2022-01-20 09:45:00,538.85,-1,25,True,8
2022-01-20 09:45:00,551.35,1,25,True,8
2022-01-20 12:35:00,446.75,1,25,True,8
2022-01-20 12:40:00,570.0,-1,25,True,8
2022-01-20 12:45:00,590.0,1,25,True,8
2022-01-20 12:55:00,560.9,-1,25,True,8
2022-01-20 13:00:00,648.1,1,25,True,8
2022-01-20 13:05:00,370.0,-1,25,True,8
2022-01-20 14:30:00,130.85,1,25,True,8
2022-01-21 09:40:00,643.4,-1,25,True,8
2022-01-21 10:00:00,880.0,-1,25,True,8
2022-01-21 10:15:00,669.55,1,25,True,8
2022-01-21 11:05:00,616.5,-1,25,True,8
2022-01-21 11:10:00,825.0,1,25,True,8
2022-01-21 11:40:00,828.05,-1,25,True,8
2022-01-21 11:50:00,848.1,1,25,True,8
2022-01-21 14:20:00,573.1,1,25,True,8
2022-01-24 09:30:00,684.15,-1,25,True,8
2022-01-24 09:50:00,588.9,-1,25,True,8
2022-01-24 09:50:00,744.85,1,25,True,8
2022-01-24 10:15:00,702.25,-1,25,True,8
2022-01-24 10:15:00,669.9,1,25,True,8
2022-01-24 14:30:00,380.1,1,25,True,8
2022-01-25 09:30:00,749.0,-1,25,True,8
2022-01-25 10:45:00,637.45,1,25,True,8
2022-01-25 11:10:00,579.3,-1,25,True,8
2022-01-25 14:30:00,201.7,1,25,True,8
2022-01-27 09:30:00,591.6,-1,25,True,8
2022-01-27 09:30:00,755.0,1,25,True,8
2022-01-27 09:35:00,381.95,-1,25,True,8
2022-01-27 09:50:00,698.35,-1,25,True,8
2022-01-27 09:55:00,521.1,1,25,True,8
2022-01-27 09:55:00,521.1,1,25,True,8
2022-01-27 10:50:00,435.2,-1,25,True,8
2022-01-27 10:50:00,653.55,1,25,True,8
2022-01-27 10:55:00,654.4,-1,25,True,8
2022-01-27 11:00:00,706.0,1,25,True,8
2022-01-27 12:40:00,385.0,1,25,True,8
2022-01-27 12:45:00,643.3,-1,25,True,8
2022-01-27 14:30:00,61.85,1,25,True,8
2022-01-28 09:35:00,959.35,-1,25,True,8
2022-01-28 09:40:00,1060.15,-1,25,True,8
2022-01-28 09:45:00,1001.8,1,25,True,8
2022-01-28 09:55:00,897.45,-1,25,True,8
2022-01-28 10:00:00,1061.95,1,25,True,8
2022-01-28 10:10:00,1031.1,-1,25,True,8
2022-01-28 10:10:00,983.9,1,25,True,8
2022-01-28 10:30:00,942.25,-1,25,True,8
2022-01-28 10:35:00,1021.6,1,25,True,8
2022-01-28 10:45:00,963.1,-1,25,True,8
2022-01-28 10:55:00,1050.0,1,25,True,8
2022-01-28 11:05:00,1037.4,-1,25,True,8
2022-01-28 11:15:00,974.05,1,25,True,8
2022-01-28 11:25:00,926.9,-1,25,True,8
2022-01-28 11:50:00,1048.0,1,25,True,8
2022-01-28 12:40:00,1015.85,-1,25,True,8
2022-01-28 12:45:00,1068.45,1,25,True,8
2022-01-28 13:05:00,1002.3,-1,25,True,8
2022-01-28 13:05:00,941.05,1,25,True,8
2022-01-28 13:30:00,900.0,-1,25,True,8
2022-01-28 13:35:00,951.15,1,25,True,8
2022-01-28 14:30:00,817.45,1,25,True,8
2022-01-31 09:30:00,960.0,-1,25,True,8
2022-01-31 09:35:00,1017.25,1,25,True,8
2022-01-31 09:40:00,879.25,-1,25,True,8
2022-01-31 09:50:00,984.45,-1,25,True,8
2022-01-31 09:50:00,970.05,1,25,True,8
2022-01-31 11:15:00,925.0,1,25,True,8
2022-01-31 12:10:00,976.4,-1,25,True,8
2022-01-31 12:40:00,1005.0,1,25,True,8
2022-01-31 12:50:00,942.2,-1,25,True,8
2022-01-31 13:30:00,1025.4,1,25,True,8
2022-01-31 14:10:00,958.7,-1,25,True,8
2022-01-31 14:30:00,949.9,1,25,True,8
2022-02-01 09:30:00,980.0,-1,25,True,8
2022-02-01 10:35:00,946.05,1,25,True,8
2022-02-01 10:45:00,941.65,-1,25,True,8
2022-02-01 10:50:00,963.75,1,25,True,8
2022-02-01 11:05:00,888.25,-1,25,True,8
2022-02-01 11:25:00,1046.85,1,25,True,8
2022-02-01 11:25:00,1046.85,1,25,True,8
2022-02-01 11:30:00,880.0,-1,25,True,8
2022-02-01 11:50:00,949.75,1,25,True,8
2022-02-01 11:55:00,942.3,-1,25,True,8
2022-02-01 12:15:00,945.0,-1,25,True,8
2022-02-01 12:15:00,1000.7,1,25,True,8
2022-02-01 12:25:00,959.6,-1,25,True,8
2022-02-01 12:30:00,1033.85,1,25,True,8
2022-02-01 12:40:00,912.6,-1,25,True,8
2022-02-01 12:55:00,975.6,1,25,True,8
2022-02-01 13:50:00,978.9,-1,25,True,8
2022-02-01 13:55:00,999.95,1,25,True,8
2022-02-01 14:00:00,985.75,-1,25,True,8
2022-02-01 14:20:00,623.15,1,25,True,8
2022-02-01 14:30:00,730.9,1,25,True,8
2022-02-02 09:30:00,637.8,-1,25,True,8
2022-02-02 09:35:00,533.25,-1,25,True,8
2022-02-02 10:00:00,630.65,1,25,True,8
